actual/predicted,good_morning,hello,how,iloveyou,no,sorry,thankyou,yes
good_morning,10,0,0,0,0,0,0,0
hello,0,10,0,0,0,0,0,0
how,0,0,11,0,0,0,0,0
iloveyou,0,0,0,5,1,0,0,5
no,0,0,0,3,7,0,0,1
sorry,0,0,0,0,0,10,0,0
thankyou,0,0,0,0,0,0,11,0
yes,0,1,0,3,2,0,0,4
